// 介護施設向け検食シフト作成システム - 設定データ
// 出力日時: 2025/8/30 14:00:00

# Staff Information
role,name,active,meal_restrictions,shift_restrictions,notes
看護師,今野弘美,true,,,
看護師,看護師02,true,,,
看護師,看護師03,true,,,
看護師,看護師04,true,,,
看護師,看護師05,true,,,
看護師,看護師06,true,,,
看護師,看護師07,true,,,
看護師,看護師08,true,,,
看護師,看護師09,true,,,
看護師,看護師10,true,,,
看護師,看護師11,true,,,
看護師,看護師12,true,,,
介護士,介護士01,true,,,
介護士,介護士02,true,,,
介護士,介護士03,true,,,
介護士,介護士04,true,,,
介護士,介護士05,true,,,
介護士,介護士06,true,,,
介護士,介護士07,true,,,
介護士,介護士08,true,,,
相談員,相談員01,true,,,
相談員,相談員02,true,,,

# Shift Requirements
role,early,day,late,night
看護師,2,4,2,2
介護士,2,3,2,1
相談員,0,1,0,0

# Meal Rules
meal,need,roles
朝食,1,看護師;介護士
昼食,1,看護師;介護士
夕食,1,看護師;介護士
夜食,1,看護師
